publisher,app_name,title,año de lanzamiento,price,developer,genres,tags
Valve,Garry's Mod,Garry's Mod,2006-11-29,9.99,Facepunch Studios,Indie|Simulation,Sandbox|Multiplayer|Funny|Moddable|Building|Co-op|Comedy|First-Person|Mod|Simulation|Online Co-Op|FPS|Singleplayer|Physics|Action|Indie|Shooter|Animation & Modeling|Adventure|Massively Multiplayer
SimBin,RACE - The WTCC Game,RACE - The WTCC Game,2006-11-24,39.99,SimBin,Racing,Racing|Simulation
Unknown Worlds Entertainment,Zen of Sudoku,Zen of Sudoku,2006-12-14,Free,Unknown Worlds Entertainment,Casual|Indie,Casual|Indie|Puzzle
"CINEMAX, s.r.o.",Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,2006-12-19,4.99,"CINEMAX, s.r.o.",Casual|Indie,Casual|Indie|Singleplayer
Strategy First,Ghost Master®,Ghost Master®,2003-08-23,4.99,Sick Puppies,Strategy,Strategy|Comedy|Puzzle|Simulation|Classic|Singleplayer|Funny|Tactical|Horror|Sandbox|Great Soundtrack
Strategy First,Vegas: Make It Big™,Vegas: Make It Big™,2006-12-21,4.99,Deepred,Strategy,Strategy|Simulation|Management
Funcom,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,2006-04-17,19.99,Funcom,Adventure|RPG,Adventure|Female Protagonist|Story Rich|Fantasy|Sci-fi|Singleplayer|Third Person|RPG|Futuristic|Great Soundtrack|Atmospheric|Cyberpunk
Strategy First,FlatOut 2™,FlatOut 2™,2006-08-01,9.99,Bugbear Entertainment,Racing,Racing|Destruction|Multiplayer|Great Soundtrack|Classic|Action|Singleplayer|Music|Simulation|Driving|Arcade|Physics|Comedy|Casual|Atmospheric|Funny
Strategy First,FlatOut,FlatOut,2005-07-12,7.49,Bugbear Entertainment,Racing,Racing|Destruction|Driving|Multiplayer|Classic|Arcade|Funny|Action|Singleplayer|Great Soundtrack
Capcom,Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,2007-06-26,14.99,"CAPCOM Co., Ltd.",Action|Adventure,Action|Adventure|Third-Person Shooter|Mechs|Sci-fi|Shooter|Third Person|Atmospheric|Multiplayer|Robots
2K Games,CivCity: Rome,CivCity: Rome,2006-07-24,9.99,"FireFly Studios,Firaxis Games",Strategy,Strategy|City Builder|Simulation|Rome
Arkane Studios,Arx Fatalis,Arx Fatalis,2002-11-12,4.99,Arkane Studios,RPG,RPG|First-Person|Classic|Atmospheric|Fantasy|Dark Fantasy|Singleplayer|Action|Underground|Story Rich|Adventure|Exploration
Funcom,The Longest Journey,The Longest Journey,2000-11-17,9.99,Funcom,Action|Adventure|RPG,Adventure|Point & Click|Female Protagonist|Story Rich|Fantasy|Classic|Sci-fi|Futuristic|Singleplayer|Cyberpunk|Funny|Puzzle|Atmospheric|RPG|Action|Great Soundtrack|Third Person
2K Games,Civilization IV®: Warlords,Civilization IV®: Warlords,2006-07-24,4.99,Firaxis Games,Strategy,Strategy|Turn-Based|Turn-Based Strategy|4X|Historical
2K Games,Railroad Tycoon 3,Railroad Tycoon 3,2003-10-23,9.99,PopTop,Strategy,Strategy|Management|Trains|Simulation|Real-Time with Pause|Economy|Classic|Singleplayer
"2K Games, Feral Interactive (Mac)",Sid Meier's Railroads!,Sid Meier's Railroads!,2006-10-16,9.99,"Firaxis Games,Feral Interactive (Mac)",Strategy,Strategy|Trains|Management|Economy|Simulation|Singleplayer|Multiplayer|Real-Time with Pause|Classic|Casual
2K Games,Railroad Tycoon II Platinum,Railroad Tycoon II Platinum,1998-10-31,4.99,PopTop,Strategy,Strategy|Management|Trains|Simulation|Singleplayer|Classic|Economy
2K Games,X-COM: Terror From the Deep,X-COM: Terror From the Deep,1995-04-01,4.99,"MicroProse Software, Inc",Strategy,Strategy|Classic|Sci-fi|Turn-Based|Turn-Based Strategy|Tactical|Aliens|Difficult|Underwater|Turn-Based Tactics|Lovecraftian|Isometric|Management|Singleplayer|Base Building|Horror
"Square Enix, Feral Interactive (Mac)",Tomb Raider: Anniversary,Tomb Raider: Anniversary,2007-06-05,8.99,"Crystal Dynamics,Feral Interactive (Mac)",Action|Adventure,Action|Adventure|Female Protagonist|Puzzle|Third Person|Lara Croft|Platformer|Remake|Singleplayer|Classic|Action-Adventure|Dinosaurs|Parkour|Third-Person Shooter|Shooter|3D Vision
Capcom,Devil May Cry® 3 Special Edition,Devil May Cry® 3 Special Edition,2006-05-23,19.99,"CAPCOM Co., Ltd.",Action,Action|Hack and Slash|Stylized|Great Soundtrack|Spectacle fighter|Character Action Game|Classic|Singleplayer|Difficult|Third Person|Adventure|Beat 'em up|Fantasy|Story Rich|Atmospheric|Demons|Controller|Comedy|Funny|Horror
Telltale Games,Sam & Max 101: Culture Shock,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,Telltale Games,Action|Adventure,Point & Click|Comedy|Adventure|Detective|Mystery|Episodic|Funny
id Software,Final DOOM,Final DOOM,1996-06-17,4.99,id Software,Action,FPS|Action|Classic|Retro|Shooter|Singleplayer|First-Person|1990's|Moddable|Sci-fi|Difficult|Multiplayer|Great Soundtrack|Zombies|Demons|Gore|Horror|Online Co-Op|Atmospheric
Telltale Games,Sam & Max 102: Situation: Comedy,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,Telltale Games,Action|Adventure,Adventure|Action
id Software,Ultimate Doom,Ultimate Doom,1995-04-30,4.99,id Software,Action,Classic|FPS|Action|1990's|Great Soundtrack|Demons|Moddable|Singleplayer|Sci-fi|Retro|Shooter|Gore|First-Person|Fast-Paced|Violent|Multiplayer|2.5D|Difficult|Horror|Zombies
id Software,Master Levels for Doom II,Master Levels for Doom II,1995-06-01,14.99,id Software,Action,Action|FPS|Classic|Shooter|First-Person|Retro|Sci-fi|Singleplayer|1990's|Gore|Zombies|Demons|Moddable|Great Soundtrack|Horror|Difficult
id Software,DOOM II,DOOM II,1994-05-05,4.99,id Software,Action,Classic|FPS|Action|1990's|Shooter|Moddable|Demons|Sci-fi|Retro|Violent|First-Person|Multiplayer|Gore|Singleplayer|Zombies|Great Soundtrack|Pixel Graphics|Horror|Online Co-Op|2.5D
id Software,Wolfenstein 3D,Wolfenstein 3D,1994-08-03,4.99,id Software,Action,FPS|Classic|Action|World War II|Singleplayer|Retro|First-Person|1990's|Shooter|Moddable|Pixel Graphics|2.5D
id Software,Return to Castle Wolfenstein,Return to Castle Wolfenstein,2001-11-20,4.99,Gray Matter Studios,Action,FPS|Action|Classic|World War II|Supernatural|Alternate History|Singleplayer|Shooter|First-Person|Atmospheric|Multiplayer|Horror|Gore|Sci-fi|Stealth|Zombies|Adventure|Great Soundtrack|Retro
id Software,QUAKE Mission Pack 1: Scourge of Armagon,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,Ritual Entertainment,Action,Action|FPS|Classic|Shooter|First-Person|Horror
id Software,Spear of Destiny,Spear of Destiny,1993-10-10,2.99,id Software,Action,Action|FPS|Classic|World War II|Retro|Shooter|Singleplayer|1990's
Majesco,BloodRayne,BloodRayne,2003-09-09,9.99,Terminal Reality,Action,Action|Vampire|Female Protagonist|Third Person|Singleplayer|Hack and Slash|Horror|Gore
id Software,QUAKE Mission Pack 2: Dissolution of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,Rogue Entertainment,Action,Action|FPS|Shooter|Classic|First-Person
id Software,QUAKE,QUAKE,2007-05-31,4.99,id Software,Action,FPS|Classic|Action|Shooter|Singleplayer|Multiplayer|1990's|Gore|Lovecraftian|First-Person|Great Soundtrack|Sci-fi|Moddable|Horror|Retro|Fast-Paced|Atmospheric|Adventure|Competitive|Co-op
THQ Nordic,Genesis Rising,Genesis Rising,2007-03-20,4.99,Metamorf,Strategy,Strategy|Space|Sci-fi|RTS
SEGA,"Warhammer® 40,000: Dawn of War® – Winter Assault","Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,Relic Entertainment,Strategy,Strategy|Warhammer 40K|RTS|Sci-fi|Games Workshop|Base Building|Singleplayer|Multiplayer|Real-Time|Tactical|Futuristic|Action
2K Games,BioShock™,BioShock™,2007-08-21,19.99,"2K Boston,2K Australia",Action|RPG,FPS|Atmospheric|Action|Story Rich|Singleplayer|Horror|Steampunk|First-Person|Shooter|RPG|Sci-fi|Classic|Adventure|Dystopian|Underwater|Political|Dark|Great Soundtrack|Alternate History|Action RPG
SEGA,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,Relic Entertainment,Strategy,Strategy|Warhammer 40K|RTS|Sci-fi|Multiplayer|Base Building|Games Workshop|Tactical|Real-Time|Singleplayer|Action|Classic|War|Great Soundtrack|Fantasy
SEGA,"Warhammer® 40,000: Dawn of War® - Dark Crusade","Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,Relic Entertainment,Strategy,Strategy|Warhammer 40K|RTS|Sci-fi|Multiplayer|Base Building|Singleplayer|Games Workshop|Classic|Real-Time|Action|War|Atmospheric|Tactical|Gore|Fantasy|Co-op|Adventure
SEGA,Rome: Total War™ - Collection,Rome: Total War™ - Collection,2004-09-22,9.99,The Creative Assembly,Strategy,Strategy|Historical|Rome|Turn-Based Strategy|Grand Strategy|RTS|Classic|Tactical|Multiplayer|Great Soundtrack|War|Singleplayer|Turn-Based|Moddable|Real Time Tactics|Action|Atmospheric|Simulation|4X|Medieval
SEGA,Rome: Total War™ - Alexander,Rome: Total War™ - Alexander,2006-06-26,4.99,The Creative Assembly,Strategy,Strategy|RTS|Historical|Grand Strategy|Rome|Turn-Based Strategy|Turn-Based|Multiplayer|Singleplayer
Big Fish Games,Mystery Case Files: Madame Fate®,Mystery Case Files: Madame Fate®,2007-12-14,6.99,Big Fish Games,Casual,Casual|Hidden Object
Rockstar Games,Manhunt,Manhunt,2004-04-20,9.99,Rockstar North,Action,Gore|Stealth|Action|Horror|Violent|Singleplayer|Psychological Horror|Survival Horror|Atmospheric|Dark|Great Soundtrack|Third Person|Survival|Classic|Mature
Rockstar Games,Midnight Club 2,Midnight Club 2,2003-07-01,9.99,Rockstar San Diego,Racing,Racing|Open World|Great Soundtrack|Arcade|Classic|Multiplayer|Singleplayer|Sandbox
Rockstar Games,Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,Remedy Entertainment,Action,Noir|Action|Third-Person Shooter|Classic|Bullet Time|Story Rich|Atmospheric|Shooter|Third Person|Singleplayer|Dark|Great Soundtrack|Cinematic|Adventure|Crime|Nudity|Detective
Square Enix,Tomb Raider: Legend,Tomb Raider: Legend,2006-04-07,6.99,Crystal Dynamics,Action|Adventure,Adventure|Action|Female Protagonist|Third Person|Puzzle|Lara Croft|Platformer|Singleplayer|Shooter|Action-Adventure|Third-Person Shooter|Controller
Rockstar Games,Max Payne,Max Payne,2001-07-25,9.99,Remedy Entertainment,Action,Noir|Action|Classic|Third-Person Shooter|Story Rich|Bullet Time|Atmospheric|Dark|Third Person|Shooter|Singleplayer|Great Soundtrack|Linear|Detective|Cinematic|Adventure|Violent|Crime|Horror|Psychological Horror
Electronic Arts,Command & Conquer: Red Alert 3,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,EA Los Angeles,Strategy,Strategy|RTS|Base Building|Multiplayer|Co-op|Alternate History|Sci-fi|Co-op Campaign|Real-Time|Singleplayer|Comedy|Classic|Action|Online Co-Op|Great Soundtrack|FMV|War|Atmospheric
"D3Publisher of America, Inc.",PuzzleQuest: Challenge of the Warlords,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,Infinite Interactive,Casual,Puzzle|Casual|Match 3|RPG|Fantasy|2D|Strategy|Singleplayer|Anime|Indie|Touch-Friendly
Strategy First,Culpa Innata,Culpa Innata,2007-10-23,9.99,Momentum Digital Media Technologies,RPG|Casual|Adventure,Adventure|Sci-fi|RPG|Casual|Female Protagonist|Point & Click|Cyberpunk|Dystopian
"ValuSoft, Retroism",Prison Tycoon 3™: Lockdown,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,"Gamebryo,Virtual Playground",Strategy,Strategy|Simulation
"ValuSoft, Retroism",Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007-09-01,9.99,SCS Software,Action|Adventure|Strategy,Action|Adventure|Strategy|Hunting
"ValuSoft, Retroism",18 Wheels of Steel: American Long Haul,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,SCS Software,Racing,Simulation|Racing|Driving|Open World
Square Enix,Conflict: Denied Ops,Conflict: Denied Ops,2008-02-08,5.99,Pivotal Games,Action,Action|FPS|Singleplayer|Co-op|Multiplayer
Bohemia Interactive,ARMA: Combat Operations,ARMA: Combat Operations,2007-05-08,7.99,Bohemia Interactive,Action,Action|Simulation|Shooter|FPS|Tactical|Military
THQ Nordic,Desperados 2: Cooper's Revenge,Desperados 2: Cooper's Revenge,2006-05-02,9.99,Spellbound,Action,Action|Western|Strategy|Tactical
1C Company,Death to Spies,Death to Spies,2007-10-16,4.99,Haggard Games,Action|Adventure,Stealth|Action|Adventure|World War II|Singleplayer|Open World|Third Person|Classic
Atari,Act of War: High Treason,Act of War: High Treason,2006-05-30,2.99,Eugen Systems,Action,Action|Strategy|RTS
"Atari, Aspyr (Mac)",RollerCoaster Tycoon® 3: Platinum,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,"Frontier,Aspyr (Mac)",Simulation|Strategy,Simulation|Management|Sandbox|Building|Strategy|Singleplayer|Economy|Classic|Real-Time with Pause|Funny|Family Friendly|Moddable|Multiplayer|Great Soundtrack|Comedy|Casual
Atari,Act of War: Direct Action,Act of War: Direct Action,2005-03-14,2.99,Eugen Systems,Action,Action|Strategy|RTS
"Epic Games, Inc.",Unreal 2: The Awakening,Unreal 2: The Awakening,2003-02-03,14.99,"Epic Games, Inc.",Action,Action|FPS|Shooter|Sci-fi|Singleplayer|First-Person|Classic|Multiplayer
"Epic Games, Inc.",Unreal Gold,Unreal Gold,1998-04-30,9.99,"Epic Games, Inc.",Action,Classic|FPS|Action|Great Soundtrack|Sci-fi|Atmospheric|First-Person|Shooter|Singleplayer|Multiplayer|1990's|Female Protagonist|Adventure|Fast-Paced|Co-op|Nudity|Horror
Nunchuck Games,Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,Sanzaru Games,Casual|Indie,Indie|Casual|Ninja
Ubisoft,Tom Clancy's Splinter Cell®,Tom Clancy's Splinter Cell®,2003-02-18,9.99,Ubisoft,Action,Stealth|Action|Third Person|Singleplayer|Classic|Adventure|Shooter|Third-Person Shooter|Atmospheric|Multiplayer|Difficult
Ubisoft,Far Cry®,Far Cry®,2004-03-23,9.99,Crytek Studios,Action,FPS|Action|Classic|Shooter|Open World|Stealth|First-Person|Singleplayer|Difficult|Multiplayer|Adventure|Atmospheric|Story Rich|Sci-fi|Horror|Sandbox|Great Soundtrack|Survival
"Epic Games, Inc.",Unreal Tournament: Game of the Year Edition,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,"Epic Games, Inc.",Action,Classic|FPS|Action|Arena Shooter|Fast-Paced|Multiplayer|Great Soundtrack|Shooter|Competitive|Sci-fi|First-Person|Moddable|Singleplayer|Gore|Co-op|1990's|Cyberpunk|Atmospheric
Ubisoft,Tom Clancy's Rainbow Six® Vegas,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,Ubisoft Montreal,Action,Action|FPS|Tactical|Co-op|Singleplayer|First-Person|Shooter|Multiplayer|Online Co-Op|Classic|Stealth
Ubisoft,Silent Hunter® III,Silent Hunter® III,2005-03-15,9.99,Ubisoft,Simulation,Simulation|Naval|World War II|Military|Historical|Open World|Action|Realistic
Last Day of Work,Virtual Villagers - The Secret City,Virtual Villagers - The Secret City,2008-05-28,9.99,Last Day of Work,Casual|Simulation,Casual|Simulation
"PopCap Games, Inc.",Mystery P.I.™ - The Vegas Heist,Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,SpinTop Games,Casual,Casual|Hidden Object
MumboJumbo,Luxor,Luxor,2008-06-10,9.99,MumboJumbo,Casual,Casual|Match 3
MumboJumbo,Reaxxion,Reaxxion,2008-06-10,9.99,MumboJumbo,Casual,Casual|Arcade
MumboJumbo,Little Farm,Little Farm,2008-06-10,9.99,MumboJumbo,Casual,Casual|Agriculture|Puzzle|Singleplayer
MumboJumbo,7 Wonders II,7 Wonders II,2008-06-10,9.99,MumboJumbo,Casual,Casual|Puzzle|Match 3|Singleplayer
MumboJumbo,Luxor Amun Rising,Luxor Amun Rising,2005-12-08,9.99,MumboJumbo,Casual,Casual
MumboJumbo,Luxor 3,Luxor 3,2007-11-13,9.99,MumboJumbo,Casual,Casual|Puzzle
Ubisoft,Petz® Horsez® 2,Petz® Horsez® 2,2007-11-13,9.99,Ubisoft,Simulation,Simulation|Horses|Family Friendly|Psychological Horror
MumboJumbo,Luxor 2,Luxor 2,2005-12-08,9.99,MumboJumbo,Casual,Casual
Ubisoft,Rayman Raving Rabbids™,Rayman Raving Rabbids™,2007-03-27,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",Action|Adventure,Adventure|Action|Comedy|Funny|Multiplayer|Psychological Horror|Singleplayer
Ubisoft,Silent Hunter®: Wolves of the Pacific,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,Ubisoft Romania,Simulation,Simulation|World War II|Naval|Military
1C Online Games,IL-2 Sturmovik: 1946,IL-2 Sturmovik: 1946,2006-12-15,9.99,1C: Maddox Games,Simulation,Simulation|Flight|World War II|Military|Historical|TrackIR|Realistic|Multiplayer|Action|Classic|Moddable
Ubisoft,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,Ubisoft Romania,Simulation,Simulation|World War II|Naval
Telltale Games,Bone: Out From Boneville,Bone: Out From Boneville,2005-09-15,9.99,Telltale Games,Adventure,Adventure|Point & Click
"ValuSoft, Retroism",Midnight Outlaw: 6 Hours to SunUp,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,"Merscom,Babylon",Racing,Racing
Telltale Games,Bone: The Great Cow Race,Bone: The Great Cow Race,2006-04-12,9.99,Telltale Games,Adventure,Adventure|Point & Click
"ValuSoft, Retroism",Sprint Cars Road to Knoxville,Sprint Cars Road to Knoxville,2008-07-29,9.99,BigAnt Studios,Racing,Racing
ValuSoft,Dr. Daisy Pet Vet,Dr. Daisy Pet Vet,2008-01-08,9.99,Zemnott,,Casual
"ValuSoft, Retroism",Ride! Carnival Tycoon,Ride! Carnival Tycoon,2007-07-02,9.99,Gabriel Entertainment,Simulation,Simulation|Management
ValuSoft,Hot Dish,Hot Dish,2008-01-12,9.99,Zemnott,,Casual
"ValuSoft, Retroism",Mahjongg Investigations: Under Suspicion,Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,Zemnott,Casual,Casual|Puzzle
Frogwares,Dracula Origin,Dracula Origin,2008-05-20,9.99,Frogwares,Adventure,Adventure|Point & Click|Vampire|Puzzle
Frogwares,Sherlock Holmes - Nemesis,Sherlock Holmes - Nemesis,2008-04-14,9.99,Frogwares,Adventure|RPG,Adventure|RPG|Point & Click|Detective|Mystery|Puzzle
Silver Sphere Studios,Eternity's Child,Eternity's Child,2008-07-31,4.99,"Luc Bernard,SilverSphereStudios",Adventure|Indie,Indie|Adventure|Platformer
Buka Entertainment,Pacific Storm Allies,Pacific Storm Allies,2007-05-25,7.99,Lesta Studio,Simulation|Strategy,Simulation|Strategy|World War II|Naval
Meridian4,Tank Universal,Tank Universal,2008-08-21,4.99,Dialogue Design,Action|Indie,Action|Indie|Tanks|Singleplayer|Retro|Atmospheric|Casual|Story Rich|Great Soundtrack
Strategy First,FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage,2008-08-19,19.99,Bugbear Entertainment,Racing,Racing|Destruction|Multiplayer|Arcade|Action|Singleplayer|Physics|Great Soundtrack|Driving
Oddworld Inhabitants,Oddworld: Abe's Exoddus®,Oddworld: Abe's Exoddus®,1998-11-17,2.99,Oddworld Inhabitants,Adventure,Adventure|Platformer|2D|Puzzle|Classic|Singleplayer|Cult Classic|Comedy|Funny|Dark|Retro|Action|1990's|Puzzle-Platformer|Stealth
Oddworld Inhabitants,Oddworld: Abe's Oddysee®,Oddworld: Abe's Oddysee®,1997-12-12,2.99,Oddworld Inhabitants,Adventure,Platformer|Adventure|Classic|Puzzle|2D|Singleplayer|Cult Classic|Dark|Funny|Comedy|Retro|Cinematic|Atmospheric|Difficult|Puzzle-Platformer|Action|Fantasy
SimBin,GTR Evolution Expansion Pack for RACE 07,GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,SimBin,Racing,Racing|Simulation|Driving|Multiplayer|Singleplayer
2K Games,X-COM: Enforcer,X-COM: Enforcer,2001-04-19,4.99,"MicroProse Software, Inc",Strategy,Strategy|Shooter|Action|Third-Person Shooter|Sci-fi|Aliens
